p cnf 52 180
1 5 -8 0
1 -5 -8 0
-1 5 -8 0
-1 -5 8 0
2 5 -9 0
2 -5 -9 0
-2 5 -9 0
-2 -5 9 0
3 5 -10 0
3 -5 -10 0
-3 5 -10 0
-3 -5 10 0
4 5 -11 0
4 -5 -11 0
-4 5 -11 0
-4 -5 11 0
1 6 -12 0
1 -6 -12 0
-1 6 -12 0
-1 -6 12 0
9 12 -13 0
9 -12 -13 0
-9 12 -13 0
-9 -12 13 0
9 12 -14 0
9 -12 14 0
-9 12 14 0
-9 -12 -14 0
2 6 -15 0
2 -6 -15 0
-2 6 -15 0
-2 -6 15 0
10 15 -16 0
10 -15 -16 0
-10 15 -16 0
-10 -15 16 0
10 15 -17 0
10 -15 17 0
-10 15 17 0
-10 -15 -17 0
3 6 -18 0
3 -6 -18 0
-3 6 -18 0
-3 -6 18 0
11 18 -19 0
11 -18 -19 0
-11 18 -19 0
-11 -18 19 0
11 18 -20 0
11 -18 20 0
-11 18 20 0
-11 -18 -20 0
4 6 -21 0
4 -6 -21 0
-4 6 -21 0
-4 -6 21 0
1 7 -22 0
1 -7 -22 0
-1 7 -22 0
-1 -7 22 0
17 22 -23 0
17 -22 -23 0
-17 22 -23 0
-17 -22 23 0
17 22 -24 0
17 -22 24 0
-17 22 24 0
-17 -22 -24 0
13 24 -25 0
13 -24 -25 0
-13 24 -25 0
-13 -24 25 0
13 24 -26 0
13 -24 26 0
-13 24 26 0
-13 -24 -26 0
23 25 -27 0
23 -25 27 0
-23 25 27 0
-23 -25 -27 0
2 7 -28 0
2 -7 -28 0
-2 7 -28 0
-2 -7 28 0
20 28 -29 0
20 -28 -29 0
-20 28 -29 0
-20 -28 29 0
20 28 -30 0
20 -28 30 0
-20 28 30 0
-20 -28 -30 0
16 30 -31 0
16 -30 -31 0
-16 30 -31 0
-16 -30 31 0
16 30 -32 0
16 -30 32 0
-16 30 32 0
-16 -30 -32 0
29 31 -33 0
29 -31 33 0
-29 31 33 0
-29 -31 -33 0
3 7 -34 0
3 -7 -34 0
-3 7 -34 0
-3 -7 34 0
21 34 -35 0
21 -34 -35 0
-21 34 -35 0
-21 -34 35 0
21 34 -36 0
21 -34 36 0
-21 34 36 0
-21 -34 -36 0
19 36 -37 0
19 -36 -37 0
-19 36 -37 0
-19 -36 37 0
19 36 -38 0
19 -36 38 0
-19 36 38 0
-19 -36 -38 0
35 37 -39 0
35 -37 39 0
-35 37 39 0
-35 -37 -39 0
4 7 -40 0
4 -7 -40 0
-4 7 -40 0
-4 -7 40 0
27 32 -41 0
27 -32 -41 0
-27 32 -41 0
-27 -32 41 0
27 32 -42 0
27 -32 42 0
-27 32 42 0
-27 -32 -42 0
33 38 -43 0
33 -38 -43 0
-33 38 -43 0
-33 -38 43 0
33 38 -44 0
33 -38 44 0
-33 38 44 0
-33 -38 -44 0
41 44 -45 0
41 -44 -45 0
-41 44 -45 0
-41 -44 45 0
41 44 -46 0
41 -44 46 0
-41 44 46 0
-41 -44 -46 0
43 45 -47 0
43 -45 47 0
-43 45 47 0
-43 -45 -47 0
39 40 -48 0
39 -40 -48 0
-39 40 -48 0
-39 -40 48 0
39 40 -49 0
39 -40 49 0
-39 40 49 0
-39 -40 -49 0
47 49 -50 0
47 -49 -50 0
-47 49 -50 0
-47 -49 50 0
47 49 -51 0
47 -49 51 0
-47 49 51 0
-47 -49 -51 0
48 50 -52 0
48 -50 52 0
-48 50 52 0
-48 -50 -52 0
